method	n_cluster	seed	ari_value
Onehot-based	18	6	0.24025632969501948
Onehot-based	18	7	0.24025632969501948
Onehot-based	18	8	0.24025632969501948
Onehot-based	18	9	0.24025632969501948
wNMF-based	18	0	0.24513773390684832
wNMF-based	18	1	0.24513773390684832
wNMF-based	18	2	0.24436661317981892
wNMF-based	18	3	0.24513773390684832
wNMF-based	18	4	0.24436661317981892
wNMF-based	18	5	0.24436661317981892
wNMF-based	18	6	0.24513773390684832
wNMF-based	18	7	0.24550363201927816
wNMF-based	18	8	0.24436661317981892
wNMF-based	18	9	0.24436661317981892
Average-based	19	0	0.23061954803289847
Average-based	19	1	0.2313299212036617
Average-based	19	2	0.23061954803289847
Average-based	19	3	0.23061954803289847
Average-based	19	4	0.2313299212036617
Average-based	19	5	0.23061954803289847
Average-based	19	6	0.23061954803289847
Average-based	19	7	0.2313299212036617
Average-based	19	8	0.23061954803289847
Average-based	19	9	0.23061954803289847
Onehot-based	19	0	0.23060003283122815
Onehot-based	19	1	0.23039637325648954
Onehot-based	19	2	0.2320041883601683
Onehot-based	19	3	0.2320041883601683
Onehot-based	19	4	0.23060003283122815
Onehot-based	19	5	0.23060003283122815
Onehot-based	19	6	0.23060003283122815
Onehot-based	19	7	0.23060003283122815
Onehot-based	19	8	0.23060003283122815
Onehot-based	19	9	0.23060003283122815
wNMF-based	19	0	0.22923268467745467
wNMF-based	19	1	0.2289857429702247
wNMF-based	19	2	0.22922619749777917
wNMF-based	19	3	0.2376971011835075
wNMF-based	19	4	0.22923268467745467
wNMF-based	19	5	0.22855195865772437
wNMF-based	19	6	0.22923268467745467
wNMF-based	19	7	0.2289857429702247
wNMF-based	19	8	0.22923268467745467
wNMF-based	19	9	0.22920331700365493
Average-based	20	0	0.22201186172368018
Average-based	20	1	0.22201186172368018
Average-based	20	2	0.22201186172368018
Average-based	20	3	0.22201186172368018
Average-based	20	4	0.22318572287448626
Average-based	20	5	0.22318572287448626
Average-based	20	6	0.22201186172368018
Average-based	20	7	0.22201186172368018
Average-based	20	8	0.22201186172368018
Average-based	20	9	0.22201186172368018
Onehot-based	20	0	0.22120634590989333
Onehot-based	20	1	0.22180886448371603
Onehot-based	20	2	0.22180886448371603
Onehot-based	20	3	0.22201186172368018
Onehot-based	20	4	0.22180886448371603
Onehot-based	20	5	0.223086692340746
Onehot-based	20	6	0.22180886448371603
Onehot-based	20	7	0.223086692340746
Onehot-based	20	8	0.22288373593305716
Onehot-based	20	9	0.22180886448371603
wNMF-based	20	0	0.2307668002012046
wNMF-based	20	1	0.23132775633360014
wNMF-based	20	2	0.23124498132470653
wNMF-based	20	3	0.23132775633360014
wNMF-based	20	4	0.23132775633360014
wNMF-based	20	5	0.22465965982901867
wNMF-based	20	6	0.23124498132470653
wNMF-based	20	7	0.23132775633360014
wNMF-based	20	8	0.23237016761609777
wNMF-based	20	9	0.23084951428242367
