method	n_cluster	seed	ari_value
Average-based	17	8	0.48211391057890635
Average-based	17	9	0.48211391057890635
Onehot-based	17	0	0.4949316690893897
Onehot-based	17	1	0.49494882167510934
Onehot-based	17	2	0.47802203530196724
Onehot-based	17	3	0.49503502485079914
Onehot-based	17	4	0.4803895285515773
Onehot-based	17	5	0.4949316690893897
Onehot-based	17	6	0.4949316690893897
Onehot-based	17	7	0.4949316690893897
Onehot-based	17	8	0.49538142583461797
Onehot-based	17	9	0.4949316690893897
wNMF-based	17	0	0.46814944495259053
wNMF-based	17	1	0.478946419340551
wNMF-based	17	2	0.4803792501768119
wNMF-based	17	3	0.48026012951355446
wNMF-based	17	4	0.4807140986087696
wNMF-based	17	5	0.4806604209417947
wNMF-based	17	6	0.47217979637668206
wNMF-based	17	7	0.4719399308743573
wNMF-based	17	8	0.4679085937259009
wNMF-based	17	9	0.47852646229639917
Average-based	18	0	0.4571582201754154
Average-based	18	1	0.4563418515270061
Average-based	18	2	0.46569325339382467
Average-based	18	3	0.4559218509489445
Average-based	18	4	0.4555815766510545
Average-based	18	5	0.4531947614772815
Average-based	18	6	0.4511542618777057
Average-based	18	7	0.4485536187414893
Average-based	18	8	0.4531947614772815
Average-based	18	9	0.45006078527488985
Onehot-based	18	0	0.48411314439480596
Onehot-based	18	1	0.4743747286567845
Onehot-based	18	2	0.4610450167099136
Onehot-based	18	3	0.4810682179879736
Onehot-based	18	4	0.4663478334561713
Onehot-based	18	5	0.482470858840228
Onehot-based	18	6	0.4810682179879736
Onehot-based	18	7	0.4847292040136418
Onehot-based	18	8	0.47885809410495006
Onehot-based	18	9	0.4794917874889384
wNMF-based	18	0	0.4763224063201721
wNMF-based	18	1	0.47126542114862047
wNMF-based	18	2	0.46315094138304214
wNMF-based	18	3	0.46965861024981426
wNMF-based	18	4	0.47720039065446895
wNMF-based	18	5	0.455066179213239
wNMF-based	18	6	0.4751276751439118
wNMF-based	18	7	0.4679143584142678
wNMF-based	18	8	0.4679539920149652
wNMF-based	18	9	0.4763224063201721
Average-based	19	0	0.4532557820211676
Average-based	19	1	0.4453135383488981
Average-based	19	2	0.4600326885079028
Average-based	19	3	0.4522036120509517
Average-based	19	4	0.45453341443516854
Average-based	19	5	0.45184284954362514
Average-based	19	6	0.45514672358193947
Average-based	19	7	0.4459881208059811
Average-based	19	8	0.45262711882525974
Average-based	19	9	0.45355578327892926
Onehot-based	19	0	0.4707271239319324
Onehot-based	19	1	0.4621386076813023
Onehot-based	19	2	0.46141666347472665
Onehot-based	19	3	0.4597084711952308
Onehot-based	19	4	0.4633527094978767
Onehot-based	19	5	0.46734453743519644
Onehot-based	19	6	0.4700530468718109
Onehot-based	19	7	0.46583754844832254
Onehot-based	19	8	0.4620718227288064
Onehot-based	19	9	0.4623670607562804
wNMF-based	19	0	0.4541092120502499
wNMF-based	19	1	0.44472861277680675
wNMF-based	19	2	0.45550746902797457
wNMF-based	19	3	0.4156827652362883
wNMF-based	19	4	0.44296794642014165
wNMF-based	19	5	0.4570244477819591
wNMF-based	19	6	0.4427986897787016
wNMF-based	19	7	0.44381196757429137
wNMF-based	19	8	0.44580903875142774
wNMF-based	19	9	0.45101923144312717
Average-based	20	0	0.43635318994271305
Average-based	20	1	0.4312437795807946
Average-based	20	2	0.44668865243759737
Average-based	20	3	0.4579887640951623
Average-based	20	4	0.4324464800299047
Average-based	20	5	0.4280749495161084
Average-based	20	6	0.44049171633400225
Average-based	20	7	0.44025038225425517
Average-based	20	8	0.4522537921275249
Average-based	20	9	0.4346214122669085
Onehot-based	20	0	0.4486169571966409
Onehot-based	20	1	0.4479480421748215
Onehot-based	20	2	0.4486107795560496
Onehot-based	20	3	0.4496562905441916
Onehot-based	20	4	0.4490779055543865
Onehot-based	20	5	0.4492654307355668
Onehot-based	20	6	0.4617808341828208
Onehot-based	20	7	0.4513645472655111
Onehot-based	20	8	0.46586582994065084
Onehot-based	20	9	0.4484904665231966
wNMF-based	20	0	0.4541558354794186
wNMF-based	20	1	0.4226386098975816
wNMF-based	20	2	0.41909026313138187
wNMF-based	20	3	0.43186246116230437
wNMF-based	20	4	0.4219799130645839
wNMF-based	20	5	0.4495611858781705
wNMF-based	20	6	0.41943833455299384
wNMF-based	20	7	0.45166113412002773
wNMF-based	20	8	0.4265766959600715
wNMF-based	20	9	0.41944223181739315
