method	n_cluster	seed	ari_value
wNMF-based	18	8	0.16868975545887355
wNMF-based	18	9	0.15401453490036535
Average-based	19	0	0.17696170537901848
Average-based	19	1	0.16024353922523576
Average-based	19	2	0.17196757660138343
Average-based	19	3	0.1981871627688887
Average-based	19	4	0.15962820089796903
Average-based	19	5	0.15312246981973876
Average-based	19	6	0.180389082457733
Average-based	19	7	0.16679578878374274
Average-based	19	8	0.15473435975781896
Average-based	19	9	0.1802752188508122
Onehot-based	19	0	0.16833017952059542
Onehot-based	19	1	0.1542087408109189
Onehot-based	19	2	0.1764002997423001
Onehot-based	19	3	0.15584303119860815
Onehot-based	19	4	0.1796042830049671
Onehot-based	19	5	0.15655056573523404
Onehot-based	19	6	0.18676022894945482
Onehot-based	19	7	0.1779524093218328
Onehot-based	19	8	0.1703711680660127
Onehot-based	19	9	0.17930285028603085
wNMF-based	19	0	0.16220944215646146
wNMF-based	19	1	0.1728521862508836
wNMF-based	19	2	0.15784007884575374
wNMF-based	19	3	0.18087145562265458
wNMF-based	19	4	0.1626661843200772
wNMF-based	19	5	0.15182842801771687
wNMF-based	19	6	0.17226249539938485
wNMF-based	19	7	0.14678083707668915
wNMF-based	19	8	0.16090544371740187
wNMF-based	19	9	0.15182311668920925
Average-based	20	0	0.16740405201696526
Average-based	20	1	0.1531523949293786
Average-based	20	2	0.15922022498099664
Average-based	20	3	0.17352099580451916
Average-based	20	4	0.18542963610408406
Average-based	20	5	0.1456771813028867
Average-based	20	6	0.16007280754550293
Average-based	20	7	0.15361188786823965
Average-based	20	8	0.18069671191554817
Average-based	20	9	0.18206784563594855
Onehot-based	20	0	0.15814952906283652
Onehot-based	20	1	0.159504350322773
Onehot-based	20	2	0.16311157745858984
Onehot-based	20	3	0.1700974421968946
Onehot-based	20	4	0.16734637162430482
Onehot-based	20	5	0.1604522018637797
Onehot-based	20	6	0.18839527248978105
Onehot-based	20	7	0.1630527088160013
Onehot-based	20	8	0.1569221769881355
Onehot-based	20	9	0.1489463350531667
wNMF-based	20	0	0.17536529990759692
wNMF-based	20	1	0.1518400403306082
wNMF-based	20	2	0.15091132891843617
wNMF-based	20	3	0.15535899964119854
wNMF-based	20	4	0.17672690955094822
wNMF-based	20	5	0.15530485175842146
wNMF-based	20	6	0.15536789137187826
wNMF-based	20	7	0.15751647234427033
wNMF-based	20	8	0.15166238964874088
wNMF-based	20	9	0.17616884755550558
