method	n_cluster	seed	ari_value
wNMF-based	16	3	0.21095025060929734
wNMF-based	16	4	0.2081087807524172
wNMF-based	16	5	0.17589502122025594
wNMF-based	16	6	0.20727363127075552
wNMF-based	16	7	0.20868141895339876
wNMF-based	16	8	0.20694547571629204
wNMF-based	16	9	0.20627684455595774
Average-based	17	0	0.22760717589380225
Average-based	17	1	0.22690443146297543
Average-based	17	2	0.19952399639547683
Average-based	17	3	0.2275294705011634
Average-based	17	4	0.22406372006047398
Average-based	17	5	0.22604059776624486
Average-based	17	6	0.22704185895632792
Average-based	17	7	0.22615605816481782
Average-based	17	8	0.22284532478159683
Average-based	17	9	0.21972766457980278
Onehot-based	17	0	0.18274285349167535
Onehot-based	17	1	0.22881362934338711
Onehot-based	17	2	0.22403204612528527
Onehot-based	17	3	0.22352216453840454
Onehot-based	17	4	0.18464710280736546
Onehot-based	17	5	0.23031822813104003
Onehot-based	17	6	0.2315673544138669
Onehot-based	17	7	0.2307011689683526
Onehot-based	17	8	0.17994715250474547
Onehot-based	17	9	0.23167891917173164
wNMF-based	17	0	0.17681909655594585
wNMF-based	17	1	0.21645824147575915
wNMF-based	17	2	0.2163483556893813
wNMF-based	17	3	0.18178100969784
wNMF-based	17	4	0.20659813581579614
wNMF-based	17	5	0.2142343324976833
wNMF-based	17	6	0.2167562719160058
wNMF-based	17	7	0.2158915290428603
wNMF-based	17	8	0.2067918376377211
wNMF-based	17	9	0.20767682903924817
Average-based	18	0	0.173687903570037
Average-based	18	1	0.1842574140283339
Average-based	18	2	0.18795217477621698
Average-based	18	3	0.1871785764554808
Average-based	18	4	0.18280596326151008
Average-based	18	5	0.18278872841066388
Average-based	18	6	0.18133095355381149
Average-based	18	7	0.18364458690343313
Average-based	18	8	0.18608351500705297
Average-based	18	9	0.21555566423066863
Onehot-based	18	0	0.18929181109264107
Onehot-based	18	1	0.18718926503402453
Onehot-based	18	2	0.19068915588862212
Onehot-based	18	3	0.18891366672794385
Onehot-based	18	4	0.1912410990733457
Onehot-based	18	5	0.18073202960666523
Onehot-based	18	6	0.19010807668539778
Onehot-based	18	7	0.19117142985763405
Onehot-based	18	8	0.18961299634015702
Onehot-based	18	9	0.1894311326994331
wNMF-based	18	0	0.1758325423125308
wNMF-based	18	1	0.17841472509850742
wNMF-based	18	2	0.18174468558751297
wNMF-based	18	3	0.18253797174045838
wNMF-based	18	4	0.18120721743903787
wNMF-based	18	5	0.17904042946139415
wNMF-based	18	6	0.18507812520583045
wNMF-based	18	7	0.18490271817819687
wNMF-based	18	8	0.17775669935327038
wNMF-based	18	9	0.1767839767534526
Average-based	19	0	0.19002292840520485
Average-based	19	1	0.19263977312673278
Average-based	19	2	0.18092465677347597
Average-based	19	3	0.18045705615116503
Average-based	19	4	0.171232783270358
Average-based	19	5	0.18075474295454758
Average-based	19	6	0.17848721847211282
Average-based	19	7	0.1842942804825873
Average-based	19	8	0.1835392099401122
Average-based	19	9	0.18123521192921743
Onehot-based	19	0	0.19035182185679372
Onehot-based	19	1	0.18733942620860466
Onehot-based	19	2	0.19028044562302726
Onehot-based	19	3	0.19032958870003563
Onehot-based	19	4	0.1946111633514009
Onehot-based	19	5	0.1743250045915724
Onehot-based	19	6	0.1957330990317824
Onehot-based	19	7	0.16929805755840682
Onehot-based	19	8	0.19278234308630923
Onehot-based	19	9	0.19113572395415598
wNMF-based	19	0	0.17132384208400178
wNMF-based	19	1	0.189786477453712
wNMF-based	19	2	0.17051594732117759
wNMF-based	19	3	0.17960692301860368
wNMF-based	19	4	0.15900353570709433
wNMF-based	19	5	0.1692430657533316
wNMF-based	19	6	0.1495335750201102
wNMF-based	19	7	0.17539582287681296
wNMF-based	19	8	0.17789683727517286
wNMF-based	19	9	0.1865838158391483
Average-based	20	0	0.1833971167264289
Average-based	20	1	0.17926976949329568
Average-based	20	2	0.1816539155078365
Average-based	20	3	0.1839575444112969
Average-based	20	4	0.18070245672728522
Average-based	20	5	0.16532633646462472
Average-based	20	6	0.16988714358945567
Average-based	20	7	0.1782676334982533
Average-based	20	8	0.18115828427271588
Average-based	20	9	0.18320506236764633
Onehot-based	20	0	0.18756257294350348
Onehot-based	20	1	0.168468205618794
Onehot-based	20	2	0.16698902355981501
Onehot-based	20	3	0.18982070566741963
Onehot-based	20	4	0.16983930834913422
Onehot-based	20	5	0.18571568390828194
Onehot-based	20	6	0.1819322411728452
Onehot-based	20	7	0.18305759043296152
Onehot-based	20	8	0.18719194473421108
Onehot-based	20	9	0.18881901707253226
wNMF-based	20	0	0.1734044306123086
wNMF-based	20	1	0.18874729113176866
wNMF-based	20	2	0.16819082849068706
wNMF-based	20	3	0.18847759073067832
wNMF-based	20	4	0.17617961114780412
wNMF-based	20	5	0.1758236202992932
wNMF-based	20	6	0.17428363229537505
wNMF-based	20	7	0.17301596502831199
wNMF-based	20	8	0.18539175131263727
wNMF-based	20	9	0.1691211115114864
