method	n_cluster	seed	ari_value
Average-based	18	9	0.0706932058693812
Onehot-based	18	0	0.09373596457221503
Onehot-based	18	1	0.09410688563334631
Onehot-based	18	2	0.09372787491805092
Onehot-based	18	3	0.09241948613065433
Onehot-based	18	4	0.09481976828203416
Onehot-based	18	5	0.0945844927320413
Onehot-based	18	6	0.09406381902100226
Onehot-based	18	7	0.09381503951612552
Onehot-based	18	8	0.09456674123427826
Onehot-based	18	9	0.09298352986238448
wNMF-based	18	0	0.07882439963378647
wNMF-based	18	1	0.07591614420669707
wNMF-based	18	2	0.07630777978190469
wNMF-based	18	3	0.07861516543518188
wNMF-based	18	4	0.07410461479126548
wNMF-based	18	5	0.08108189438165421
wNMF-based	18	6	0.07522518913580936
wNMF-based	18	7	0.0756253184962661
wNMF-based	18	8	0.07908580928435031
wNMF-based	18	9	0.0663959388446109
Average-based	19	0	0.0812117049261926
Average-based	19	1	0.07917841411966695
Average-based	19	2	0.08364165971186786
Average-based	19	3	0.07476880919205658
Average-based	19	4	0.08171527849730312
Average-based	19	5	0.07759132531636348
Average-based	19	6	0.07804534849821287
Average-based	19	7	0.07501883782865894
Average-based	19	8	0.07831736852434608
Average-based	19	9	0.07921602267435135
Onehot-based	19	0	0.09381604358852223
Onehot-based	19	1	0.09417771885361939
Onehot-based	19	2	0.09276525538594148
Onehot-based	19	3	0.0957211209129648
Onehot-based	19	4	0.09164148200960115
Onehot-based	19	5	0.08774368074637015
Onehot-based	19	6	0.09472192648012641
Onehot-based	19	7	0.08771939783372104
Onehot-based	19	8	0.08585368955778842
Onehot-based	19	9	0.09413780515046644
wNMF-based	19	0	0.08074961603429442
wNMF-based	19	1	0.08519809198257684
wNMF-based	19	2	0.07229671851578927
wNMF-based	19	3	0.0754103662534435
wNMF-based	19	4	0.08229993021051626
wNMF-based	19	5	0.0780113651175835
wNMF-based	19	6	0.07717563883403301
wNMF-based	19	7	0.07539232550441788
wNMF-based	19	8	0.08288024035605172
wNMF-based	19	9	0.08308329139026094
Average-based	20	0	0.07432897215157015
Average-based	20	1	0.07274639478876722
Average-based	20	2	0.07261572225091702
Average-based	20	3	0.0819175041067899
Average-based	20	4	0.07010679835769312
Average-based	20	5	0.0696516210507871
Average-based	20	6	0.07921927238282747
Average-based	20	7	0.07225221911603388
Average-based	20	8	0.07530792634209003
Average-based	20	9	0.08444438803179796
Onehot-based	20	0	0.09530284359587927
Onehot-based	20	1	0.09341172032224232
Onehot-based	20	2	0.09977408102356079
Onehot-based	20	3	0.089888505358775
Onehot-based	20	4	0.08717210460412624
Onehot-based	20	5	0.10204095537635284
Onehot-based	20	6	0.09366230028762748
