method	n_cluster	seed	ari_value
Onehot-based	20	5	0.349665232389988
Onehot-based	20	6	0.3140634079769178
Onehot-based	20	7	0.3326480739414122
Onehot-based	20	8	0.3317196084782295
Onehot-based	20	9	0.35132972874530355
wNMF-based	20	0	0.29892877167695125
wNMF-based	20	1	0.303093302779797
wNMF-based	20	2	0.3018727955454176
wNMF-based	20	3	0.2999920604763419
wNMF-based	20	4	0.2997644127259279
wNMF-based	20	5	0.2982686556618094
wNMF-based	20	6	0.3171418834522575
wNMF-based	20	7	0.31111907269131445
wNMF-based	20	8	0.3173430192129158
wNMF-based	20	9	0.3053056260506124
